official_name,short_name,platform_official_name,release_date,series_universe
Hogan's Alley,Hogan's Alley,Nintendo Entertainment System,1987-12-15,Hogan's Alley
Home Alone II,Home Alone II,Nintendo Entertainment System,1992-10-23,Home Alone II
Ice Climber,Ice Climber,Nintendo Entertainment System,1987-09-01,Ice Climber
Kid Icarus,Kid Icarus,Nintendo Entertainment System,1988-02-15,Kid Icarus
Konami Hyper Soccer,Konami Hyper Soccer,Nintendo Entertainment System,1992-01-01,Konami
Kung Fu,Kung Fu,Nintendo Entertainment System,1987-04-15,Kung Fu
Little Samson,Little Samson,Nintendo Entertainment System,1993-03-18,Little Samson
Mach Rider,Mach Rider,Nintendo Entertainment System,1987-03-15,Mach Rider
Mario Bros.,Mario Bros,Nintendo Entertainment System,1986-09-01,Super Mario
McDonald's Land,McDonald's Land,Nintendo Entertainment System,1993-05-19,McDonald's Land
Mega Man,Mega Man,Nintendo Entertainment System,1989-12-13,Mega Man
Mega Man 2,Mega Man 2,Nintendo Entertainment System,1990-12-14,Mega Man
Mega Man 3,Mega Man 3,Nintendo Entertainment System,1992-06-23,Mega Man
Mega Man 4,Mega Man 4,Nintendo Entertainment System,1993-01-21,Mega Man
Mega Man 5,Mega Man 5,Nintendo Entertainment System,1993-03-10,Mega Man
Metroid,Metroid,Nintendo Entertainment System,1988-01-15,Metroid
Mike Tyson's Punch-Out!!,Mike Tyson's Punch-Out!!,Nintendo Entertainment System,1987-12-15,Punch-Out!!
Mojon Twins Gran Sabiduría – 31 in 1 Real Game! Vol 2,Mojon Twins Gran Sabiduría – 31 in 1 Real Game! Vol 2,Nintendo Entertainment System,2019-05-05,Mojon Twins Gran Sabiduría
Olympic IQ,Olympic IQ,Nintendo Entertainment System,1991-01-01,Olympic IQ
Paaman Part 2 Himitsu Kessha Madoodan o Taose!,Paaman Part 2,Nintendo Entertainment System,1991-12-14,Paaman
Panda World,Panda World,Nintendo Entertainment System,2000-01-01,Panda World
Pinball,Pinball,Nintendo Entertainment System,1986-09-01,Pinball
Popeye,Popeye,Nintendo Entertainment System,1986-09-01,Popeye
Pro Wrestling,Pro Wrestling,Nintendo Entertainment System,1987-09-15,Pro Wrestling
Probotector,Probotector,Nintendo Entertainment System,1990-12-28,Probotector
Probotector II: Return of the Evil Forces,Probotector II,Nintendo Entertainment System,1992-02-12,Probotector
Reknum - Souls Adventure,Reknum - Souls Adventure,Nintendo Entertainment System,2021-04-30,Reknum
Reknum - The Awakening,Reknum - The Awakening,Nintendo Entertainment System,2019-04-19,Reknum
Road Fighter,Road Fighter,Nintendo Entertainment System,1985-07-11,Road Fighter
RoboCop,RoboCop,Nintendo Entertainment System,1989-08-25,RoboCop
RollerGames,RollerGames,Nintendo Entertainment System,1991-10-24,RollerGames
Silent Service,Silent Service,Nintendo Entertainment System,1989-12-01,Silent Service
Slalom,Slalom,Nintendo Entertainment System,1987-10-15,Slalom
Soccer,Soccer,Nintendo Entertainment System,1987-01-15,Soccer
